city,date,pm25,pm10,group
上海,2022-08-04,43.074999999999996,62.706250000000004,南方
上海,2022-08-05,62.06666666666666,90.59166666666665,南方
上海,2022-08-06,88.66666666666667,128.76250000000002,南方
上海,2022-08-07,80.3875,116.39166666666667,南方
上海,2022-08-08,26.22083333333333,38.53333333333333,南方
上海,2022-08-09,29.224999999999998,43.237500000000004,南方
上海,2022-08-10,42.420833333333334,61.65416666666667,南方
上海,2022-08-11,92.45416666666667,134.92499999999998,南方
上海,2022-08-12,127.17083333333333,183.95000000000002,南方
上海,2022-08-13,90.59583333333335,131.21666666666667,南方
上海,2022-08-14,65.42083333333333,94.90833333333335,南方
上海,2022-08-15,37.824999999999996,55.225,南方
上海,2022-08-16,45.00416666666666,65.33749999999999,南方
上海,2022-08-17,75.5625,110.43333333333334,南方
上海,2022-08-18,98.84583333333335,144.26250000000002,南方
上海,2022-08-19,64.35833333333333,92.96666666666665,南方
上海,2022-08-20,50.84583333333333,75.575,南方
上海,2022-08-21,51.53333333333333,81.90833333333333,南方
上海,2022-08-22,117.95833333333333,171.04999999999998,南方
上海,2022-08-23,78.51666666666667,114.7625,南方
上海,2022-08-24,14.316666666666668,24.849999999999998,南方
上海,2022-08-25,25.858333333333334,41.55833333333333,南方
上海,2022-08-26,27.09583333333333,43.03333333333333,南方
上海,2022-08-27,25.745833333333334,39.1875,南方
上海,2022-08-28,34.333333333333336,54.70416666666667,南方
上海,2022-08-29,78.32916666666667,116.44583333333333,南方
上海,2022-08-30,34.69583333333333,51.53333333333333,南方
上海,2022-08-31,17.116666666666667,27.945833333333336,南方
上海,2022-09-01,17.516666666666666,31.03333333333333,南方
上海,2022-09-02,13.237499999999999,22.691666666666666,南方
上海,2022-09-03,12.133333333333333,19.929166666666667,南方
上海,2022-09-04,12.858333333333334,21.53333333333333,南方
上海,2022-09-05,9.85,15.8125,南方
上海,2022-09-06,72.33749999999999,108.85416666666667,南方
上海,2022-09-07,172.8166666666667,253.43333333333337,南方
上海,2022-09-08,34.141666666666666,57.979166666666664,南方
上海,2022-09-09,18.870833333333334,31.020833333333332,南方
上海,2022-09-10,23.15416666666667,37.65833333333334,南方
上海,2022-09-11,16.091666666666665,25.8,南方
上海,2022-09-12,17.066666666666666,25.516666666666666,南方
上海,2022-09-13,12.616666666666667,20.224999999999998,南方
